Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_024-2,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.02,-84.41527,33.68401,-75.74945044601961,82.13819908388125,950.4638945000734,0.8474366630698652,0.1504259438494841,0.0588770915539437,0.0088566420681144
CM_024-3,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.3,-84.41527,33.68401,-75.74945044601961,82.13819908388125,950.4638945000734,0.8474366630698652,0.1504259438494841,0.0588770915539437,0.0088566420681144
CM_027-1,-95.28318,29.33381,32.93,7.5,10.96,152.38,-3293.85,-95.28318,29.33381,-2763.7750323520777,241.06240963411187,977.6255065929472,2.794550967552954,0.446303932916379,0.1941561420917808,0.086652649815433
CM_027-2,-95.28318,29.33381,32.93,7.5,10.96,152.38,-2717.18,-95.28318,29.33381,-2763.7750323520777,241.06240963411187,977.6255065929472,2.794550967552954,0.446303932916379,0.1941561420917808,0.086652649815433
CM_027-3,-95.28318,29.33381,32.93,7.5,10.96,152.38,-1941.4,-95.28318,29.33381,-2763.7750323520777,241.06240963411187,977.6255065929472,2.794550967552954,0.446303932916379,0.1941561420917808,0.086652649815433
CM_028-1,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-42.78,-96.57826799,28.83182444,-194.4556781160249,78.72452510681961,950.1748173566896,3.9143605961821377,0.1450138502699202,0.2719568048445,0.0394375033776061
CM_028-2,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-30.01,-96.57826799,28.83182444,-194.4556781160249,78.72452510681961,950.1748173566896,3.9143605961821377,0.1450138502699202,0.2719568048445,0.0394375033776061
CM_028-3,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-41.12,-96.57826799,28.83182444,-194.4556781160249,78.72452510681961,950.1748173566896,3.9143605961821377,0.1450138502699202,0.2719568048445,0.0394375033776061
CM_032-1,-96.798,46.804,15.02,7.6,9.38,93.04,-4001.81,-96.798,46.804,-4154.258853656325,369.726462452163,1017.558683898944,4.173361002462548,0.6852981743870185,0.2899512949316289,0.1987030930777972
CM_032-2,-96.798,46.804,15.02,7.6,9.38,93.04,-3971.85,-96.798,46.804,-4154.258853656325,369.726462452163,1017.558683898944,4.173361002462548,0.6852981743870185,0.2899512949316289,0.1987030930777972
