Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-91.4609446474,37.1432351374,-8.26162999813,1.95932144753,19.5561962764,0.179220156958,0.142888156275,0.0122740757289,0.00175382005088,0,0,1.31647682082,0.532186621233,5.48283404821,0,0.118157241784,0,0.00145027093358,102154
-73.3986001479,41.4504455218,-5.8496496787,2.04774972099,19.5662918894,0.174932961293,0.146866415853,0.0119804627495,0.00175952762427,0,0,2.17706603095,0.804435232533,5.51182559618,0,0.12297883448,0,0.00147334334546,100130
-78.6807991369,41.4975949617,-10.1264669569,2.02078246003,19.5631627666,0.17862687983,0.149223598964,0.0122334445381,0.00182551862169,0,0,1.23572607624,0.4903286574,5.47609943278,0,0.125860768267,0,0.00153971072811,101063
-71.0594449203,43.0980643491,-7.52525727764,2.00507425545,19.5610521362,0.190574928108,0.144425026668,0.0130517188431,0.00188499484198,0,0,1.88362638048,0.720717312939,5.50346823997,0,0.119474879328,0,0.0015593525338,100021
-71.5018674879,43.0229070829,-11.9265187118,2.41968529765,19.6145278375,0.145574669796,0.19219444381,0.00996983013301,0.0019161459573,0,0,2.20873209226,0.64121313769,5.46722636512,0,0.17781892586,0,0.00177282448526,100024
-73.9061416109,41.3146691515,-8.43590675927,2.02199554074,19.5628877177,0.196634123775,0.142658099878,0.0134666890548,0.00192113227221,0,0,1.76171863592,0.729849821222,5.50430104585,0,0.116426522747,0,0.00156787977957,100220
-71.9521896582,42.0230114781,-9.29323200061,2.07537523529,19.5699289291,0.198341097295,0.143610126847,0.013583592882,0.00195074149681,0,0,1.74670054564,0.734735515284,5.49921316933,0,0.116201319149,0,0.00157843141166,100053
-111.581261144,36.8645889613,-3.59385219965,2.63302893113,19.6407783203,0.138863830726,0.205450011158,0.0095102314565,0.00195387715885,0,0,5.46199995854,0.636646968306,5.47151715284,0,0.192892463187,0,0.00183445197113,102446
-71.514167281,42.8933420742,-10.1198262318,2.14490131998,19.5771637069,0.175297608601,0.162845020531,0.0120054359933,0.00195502547081,0,0,1.96174148606,0.504426884598,5.47423854745,0,0.14167205124,0,0.00170083474319,100025
-73.2727681735,42.09433842,-11.0326026291,2.27078657441,19.5934240899,0.169194512046,0.169353140133,0.0115874591844,0.00196237259904,0,0,1.74458582503,0.692003537169,5.4864965862,0,0.148342075758,0,0.00171890774817,100123
