Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,0.9929950984313415,1.7781711406141112
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.06445798922691845,1.841626776224812
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.25527250510330607,1.841626776224812
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.4082399653118496,1.841626776224812
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,3.5631558360699276,3.4915543283518438
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,3.3422607772495927,3.4915543283518438
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,3.3417924968295583,3.4915543283518438
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.3283796034387377,1.8112894423983366
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.250420002308894,1.8112894423983366
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.8413594704548549,1.8112894423983366
