Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-85.67169562522217,117.45626591508643,1207.9335321598833,0.5702626394158075,0.1562887870908008,0.0391506498028604,0.0061188075715057
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-96.757320976131,117.2379949567865,1207.9135079665475,2.5695767521375936,0.1558143710613263,0.176410994883986,0.0274873682161511
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-96.757320976131,117.2379949567865,1207.9135079665475,2.5695767521375936,0.1558143710613263,0.176410994883986,0.0274873682161511
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-96.757320976131,117.2379949567865,1207.9135079665475,2.5695767521375936,0.1558143710613263,0.176410994883986,0.0274873682161511
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2919.4706363418704,311.95126085708546,1243.006154539979,5.321861639741457,0.4229395881867789,0.3653655823748828,0.1545275689472555
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2919.4706363418704,311.95126085708546,1243.006154539979,5.321861639741457,0.4229395881867789,0.3653655823748828,0.1545275689472555
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2919.4706363418704,311.95126085708546,1243.006154539979,5.321861639741457,0.4229395881867789,0.3653655823748828,0.1545275689472555
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-114.32495126132336,116.19210920414233,1207.8118357786682,4.853742568562056,0.1549323936081929,0.3332274681884794,0.051627729262439
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-114.32495126132336,116.19210920414233,1207.8118357786682,4.853742568562056,0.1549323936081929,0.3332274681884794,0.051627729262439
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-114.32495126132336,116.19210920414233,1207.8118357786682,4.853742568562056,0.1549323936081929,0.3332274681884794,0.051627729262439
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3323.5447282783693,354.48994200303025,1254.2427129139337,4.1088602581368425,0.4799812819741941,0.2820885289276538,0.1353972137449098
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3323.5447282783693,354.48994200303025,1254.2427129139337,4.1088602581368425,0.4799812819741941,0.2820885289276538,0.1353972137449098
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3323.5447282783693,354.48994200303025,1254.2427129139337,4.1088602581368425,0.4799812819741941,0.2820885289276538,0.1353972137449098
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-113.0996840255266,116.53632359842932,1207.8456469501684,3.409667415826892,0.1548742451891972,0.2340863414759454,0.0362539454451876
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-113.0996840255266,116.53632359842932,1207.8456469501684,3.409667415826892,0.1548742451891972,0.2340863414759454,0.0362539454451876
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-113.0996840255266,116.53632359842932,1207.8456469501684,3.409667415826892,0.1548742451891972,0.2340863414759454,0.0362539454451876
