Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3044.877394341472,378.8272812392483,1178.0999701564035,4.121118891027834,0.5996224529833922,0.2783945614880631,0.1669316298567082,3.440395807857696,3.483569809930155,-2756.74,-3044.877394341472,10.452106268326807
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-138.1067804024821,117.0021112507026,1119.3024509789657,3.5783272532809263,0.1947617330352231,0.2417272767128233,0.0470792233344743,0.8221680793680175,2.1402150009471796,-6.64,-138.1067804024821,1979.921391603646
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-138.1067804024821,117.0021112507026,1119.3024509789657,3.5783272532809263,0.1947617330352231,0.2417272767128233,0.0470792233344743,0.6190933306267428,2.1402150009471796,-4.16,-138.1067804024821,3219.8745289058197
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-138.1067804024821,117.0021112507026,1119.3024509789657,3.5783272532809263,0.1947617330352231,0.2417272767128233,0.0470792233344743,0.7551122663950712,2.1402150009471796,-5.69,-138.1067804024821,2327.1841898503003
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-172.16786891354187,115.43949031153036,1119.1415246905058,0.7700661930428505,0.1928097010519733,0.0520203968382668,0.0100300371629912,1.972665592266111,2.2359521038215187,-93.9,-172.16786891354187,83.35236306021497
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-172.16786891354187,115.43949031153036,1119.1415246905058,0.7700661930428505,0.1928097010519733,0.0520203968382668,0.0100300371629912,1.915347062324192,2.2359521038215187,-82.29,-172.16786891354187,109.2208882167236
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-172.16786891354187,115.43949031153036,1119.1415246905058,0.7700661930428505,0.1928097010519733,0.0520203968382668,0.0100300371629912,2.0215200641140325,2.2359521038215187,-105.08,-172.16786891354187,63.84456501098389
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-115.39694909401209,118.44047091673436,1119.4566983943992,0.9838714481717444,0.1977467594407795,0.0664636152503925,0.0131429645364838,1.5875987297212448,2.0621943269379925,-38.69,-115.39694909401209,198.2604008633034
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-115.39694909401209,118.44047091673436,1119.4566983943992,0.9838714481717444,0.1977467594407795,0.0664636152503925,0.0131429645364838,1.5285310606354117,2.0621943269379925,-33.77,-115.39694909401209,241.7143887889016
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-115.39694909401209,118.44047091673436,1119.4566983943992,0.9838714481717444,0.1977467594407795,0.0664636152503925,0.0131429645364838,1.448551739201578,2.0621943269379925,-28.09,-115.39694909401209,310.8114955287009
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-190.2775824054848,114.50822839977124,1119.0451222442932,3.343270534267601,0.1916102505921725,0.2258484549789964,0.0432748790543804,1.5805828768143673,2.279387624802586,-38.07,-190.2775824054848,399.80977779218495
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-190.2775824054848,114.50822839977124,1119.0451222442932,3.343270534267601,0.1916102505921725,0.2258484549789964,0.0432748790543804,1.5471591213274176,2.279387624802586,-35.25,-190.2775824054848,439.79456001555974
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-190.2775824054848,114.50822839977124,1119.0451222442932,3.343270534267601,0.1916102505921725,0.2258484549789964,0.0432748790543804,1.6011905326153335,2.279387624802586,-39.92,-190.2775824054848,376.6472505147414
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-179.8296947223452,114.9555197447952,1119.0901687794671,3.454944326904547,0.1918020247398795,0.2333923714135735,0.0447651293959653,1.668292710448221,2.2548614070258988,-46.59,-179.8296947223452,285.98346152038033
