Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-124.54027232103516,175.86058364201554,1320.7037016836623,3.7919146537347808,0.1414699985586733,0.261997750854028,0.0370648214356949,1.6099144100859977,2.0953098110191823,-40.73,-124.54027232103516
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-124.54027232103516,175.86058364201554,1320.7037016836623,3.7919146537347808,0.1414699985586733,0.261997750854028,0.0370648214356949,1.5198279937757189,2.0953098110191823,-33.1,-124.54027232103516
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-124.54027232103516,175.86058364201554,1320.7037016836623,3.7919146537347808,0.1414699985586733,0.261997750854028,0.0370648214356949,1.3579348470004537,2.0953098110191823,-22.8,-124.54027232103516
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3630.112516468712,823.3384611986601,1550.6559606110536,3.1035243750976536,0.6610429121518304,0.2144342582171181,0.1417502465169613,3.586673929905294,3.5599200863375393,-3860.77,-3630.112516468712
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3630.112516468712,823.3384611986601,1550.6559606110536,3.1035243750976536,0.6610429121518304,0.2144342582171181,0.1417502465169613,3.5393960534276854,3.5599200863375393,-3462.55,-3630.112516468712
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3630.112516468712,823.3384611986601,1550.6559606110536,3.1035243750976536,0.6610429121518304,0.2144342582171181,0.1417502465169613,3.584430738784042,3.5599200863375393,-3840.88,-3630.112516468712
CM_018-1,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.78,-102.126046,41.316592,-127.87804055661692,175.14975498535256,1320.6124148184826,3.259449672851333,0.1411281546440325,0.2252077278342341,0.0317831510408209,0.250420002308894,2.106795973064395,-1.78,-127.87804055661692
CM_018-2,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.64,-102.126046,41.316592,-127.87804055661692,175.14975498535256,1320.6124148184826,3.259449672851333,0.1411281546440325,0.2252077278342341,0.0317831510408209,0.21484384804769785,2.106795973064395,-1.64,-127.87804055661692
CM_018-3,-102.126046,41.316592,20.47,8.0,8.26,91.71,-0.86,-102.126046,41.316592,-127.87804055661692,175.14975498535256,1320.6124148184826,3.259449672851333,0.1411281546440325,0.2252077278342341,0.0317831510408209,-0.06550154875643228,2.106795973064395,-0.86,-127.87804055661692
CM_020-1,-79.04489,33.82767,30.16,6.5,4.36,57.87,-18.49,-79.04489,33.82767,-219.1319963673701,169.96722396645148,1319.922415002148,2.121912053888599,0.1370346439480507,0.1466109436511986,0.0200907784621296,1.266936911159173,2.34070579532084,-18.49,-219.1319963673701
CM_020-2,-79.04489,33.82767,30.16,6.5,4.36,57.87,-21.45,-79.04489,33.82767,-219.1319963673701,169.96722396645148,1319.922415002148,2.121912053888599,0.1370346439480507,0.1466109436511986,0.0200907784621296,1.331427296520743,2.34070579532084,-21.45,-219.1319963673701
CM_020-3,-79.04489,33.82767,30.16,6.5,4.36,57.87,-15.72,-79.04489,33.82767,-219.1319963673701,169.96722396645148,1319.922415002148,2.121912053888599,0.1370346439480507,0.1466109436511986,0.0200907784621296,1.196452541703389,2.34070579532084,-15.72,-219.1319963673701
CM_027-1,-95.28318,29.33381,32.93,7.5,10.96,152.38,-3293.85,-95.28318,29.33381,-2334.9946625378407,533.231023621808,1418.0097175072774,2.880073991286564,0.4221891554062991,0.1989952245541865,0.0840136257844188,3.517703817767683,3.368285892168507,-3293.85,-2334.9946625378407
CM_027-2,-95.28318,29.33381,32.93,7.5,10.96,152.38,-2717.18,-95.28318,29.33381,-2334.9946625378407,533.231023621808,1418.0097175072774,2.880073991286564,0.4221891554062991,0.1989952245541865,0.0840136257844188,3.434118409274495,3.368285892168507,-2717.18,-2334.9946625378407
CM_027-3,-95.28318,29.33381,32.93,7.5,10.96,152.38,-1941.4,-95.28318,29.33381,-2334.9946625378407,533.231023621808,1418.0097175072774,2.880073991286564,0.4221891554062991,0.1989952245541865,0.0840136257844188,3.288115025288103,3.368285892168507,-1941.4,-2334.9946625378407
CM_028-1,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-42.78,-96.57826799,28.83182444,-326.95021252853417,165.86603786097396,1319.376232228861,3.916821439901048,0.1349974862228517,0.2706280339775511,0.0365341042884018,1.6312407802355091,2.5144816240047616,-42.78,-326.95021252853417
CM_028-2,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-30.01,-96.57826799,28.83182444,-326.95021252853417,165.86603786097396,1319.376232228861,3.916821439901048,0.1349974862228517,0.2706280339775511,0.0365341042884018,1.4772659954248526,2.5144816240047616,-30.01,-326.95021252853417
CM_028-3,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-41.12,-96.57826799,28.83182444,-326.95021252853417,165.86603786097396,1319.376232228861,3.916821439901048,0.1349974862228517,0.2706280339775511,0.0365341042884018,1.6140531059872194,2.5144816240047616,-41.12,-326.95021252853417
S19S_0019-D,-84.278999,35.9563807,18.3,8.0,11.46,121.9,-4.6,-84.278999,35.9563807,-127.73979257803958,175.5512290097504,1320.6637086659423,1.2533203622074154,0.1413758259965639,0.0865966526104376,0.012242673291338,0.6627578316815741,2.106326206621669,-4.6,-127.73979257803958
S19S_0019-M,-84.2789099,35.956601,18.3,8.0,11.46,121.9,-36.16,-84.2789099,35.956601,-127.73979257803958,175.5512290097504,1320.6637086659423,1.2533203622074154,0.1413758259965639,0.0865966526104376,0.012242673291338,1.5582284218033258,2.106326206621669,-36.16,-127.73979257803958
S19S_0019-U,-84.2786976,35.9572803,18.3,8.0,11.46,121.9,-11.18,-84.2786976,35.9572803,-127.73979257803958,175.5512290097504,1320.6637086659423,1.2533203622074154,0.1413758259965639,0.0865966526104376,0.012242673291338,1.0484418035504044,2.106326206621669,-11.18,-127.73979257803958
S19S_0006-D,-76.717163,39.311369,25.7,7.5,,,-1575.97,-76.717163,39.311369,-215.70918097593955,165.5961131289452,1319.334607050641,0.64075142048147,0.1354592099204706,0.0442719434250248,0.0059970424779975,3.197547946047912,2.3338686298607074,-1575.97,-215.70918097593955
S19S_0006-M,-76.717316,39.31162,25.7,7.5,,,-3.28,-76.717316,39.31162,-215.70918097593955,165.5961131289452,1319.334607050641,0.64075142048147,0.1354592099204706,0.0442719434250248,0.0059970424779975,0.5158738437116791,2.3338686298607074,-3.28,-215.70918097593955
