Sample_ID,Mg_wt_percent,Al_wt_percent,Si_wt_percent,P_wt_percent,S_wt_percent,Ca_wt_percent,Mn_wt_percent,Fe_wt_percent,Cu_wt_percent,W_wt_percent,Hg_wt_percent
S19S_0063-U,0,0,46.559,3.696,0,45.029,0.092,4.289,0.335,0,0
S19S_0037-M,0,0,59.453,4.153,0,13.219,0.592,22.127,0.456,0,0
S19S_0050-D,0.264,0.457,59.615,5.297,0,9.783,1.301,22.771,0.512,0,0
S19S_0012-M,0,0,61.232,3.869,0,13.962,1.078,19.391,0.468,0,0
S19S_0068-U,0,0,45.988,2.162,0,10.506,0.627,40.246,0.472,0,0
S19S_0013-M,0,0.313,37.749,1.795,0,7.466,1.128,51.077,0.471,0,0
S19S_0038-D,0,0.701,62.919,5.095,0,12.888,0.402,17.545,0.45,0,0
S19S_0040-U,0,0,46.315,3.549,0,36.713,0.266,12.822,0.336,0,0
S19S_0012-U,0,0,65.914,6.378,0,13.927,0.35,12.967,0.464,0,0
S19S_0084-U,0,0,66.584,6.003,0,15.449,0.565,10.987,0.412,0,0
S19S_0064-M,0,0,50.211,2.539,0,8.899,1.113,36.772,0.466,0,0
S19S_0049-D,0,0,50.525,2.196,0.109,9.043,0.511,37.063,0.553,0,0
S19S_0035-U,0,0,62.546,3.968,0,13.105,0.518,19.251,0.612,0,0
S19S_0049-U,0,1.25,50.781,2.403,0,9.358,0.656,35.057,0.495,0,0
S19S_0062-U,0,0,61.215,5.295,0,16.169,0.34,16.539,0.442,0,0
S19S_0035-M,0,0,63.431,6.178,0,13.462,1.238,15.167,0.524,0,0
S19S_0062-D,0,0,64.102,5.919,0,15.419,0.386,13.719,0.455,0,0
S19S_0048-D,0,0,49.865,2.333,0,8.477,0.537,38.235,0.553,0,0
S19S_0049-M,0,0,50.401,2.173,0,9.333,0.469,37.123,0.5,0,0
S19S_0071-M,3.378,0,59.67,4.681,0,10.594,0.196,21.061,0.42,0,0
S19S_0084-M,0,0.605,64.174,5.684,0,13.31,0.751,15.039,0.436,0,0
S19S_0030-U,0,0.196,43.614,2.86,0,11.344,0.617,40.904,0.465,0,0
S19S_0048-U,0,0,48.562,2.204,0,8.215,0.494,39.996,0.53,0,0
S19S_0070-U,0,0,54.336,3.967,0,8.798,0.513,31.869,0.517,0,0
S19S_0072-U,0,0,68.335,7.316,0,16.499,0.193,7.239,0.418,0,0
S19S_0070-M,0,0,55.011,3.687,0,9.137,0.517,31.149,0.499,0,0
