Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_024-1,-84.41527,33.68401,23.66,6.0,7.5,,-4.93,-84.41527,33.68401,-50.89236056677057,276.7275755418529,859.265261565283,0.9403599150815412,0.0354183344003882,0.0648427441229337,0.0022966219947848,0.69284691927723,1.706652595446816,-4.93,-50.89236056677057,932.2994029770907
CM_024-2,-84.41527,33.68401,23.66,6.0,7.5,,-5.02,-84.41527,33.68401,-50.89236056677057,276.7275755418529,859.265261565283,0.9403599150815412,0.0354183344003882,0.0648427441229337,0.0022966219947848,0.7007037171450193,1.706652595446816,-5.02,-50.89236056677057,913.7920431627604
CM_024-3,-84.41527,33.68401,23.66,6.0,7.5,,-5.3,-84.41527,33.68401,-50.89236056677057,276.7275755418529,859.265261565283,0.9403599150815412,0.0354183344003882,0.0648427441229337,0.0022966219947848,0.724275869600789,1.706652595446816,-5.3,-50.89236056677057,860.2332182409542
CM_037-1,-72.8972,41.3825,10.8,6.5,10.33,,-6.16,-72.8972,41.3825,-59.93162353786067,268.06977263553614,856.411215662108,0.4723222002403673,0.0346831240042158,0.0325690909220768,0.0011295978191549,0.7895807121644255,1.7776560428221904,-6.16,-59.93162353786067,872.9159665237123
CM_037-2,-72.8972,41.3825,10.8,6.5,10.33,,-6.7,-72.8972,41.3825,-59.93162353786067,268.06977263553614,856.411215662108,0.4723222002403673,0.0346831240042158,0.0325690909220768,0.0011295978191549,0.8260748027008264,1.7776560428221904,-6.7,-59.93162353786067,794.5018438486667
CM_037-3,-72.8972,41.3825,10.8,6.5,10.33,,-8.2,-72.8972,41.3825,-59.93162353786067,268.06977263553614,856.411215662108,0.4723222002403673,0.0346831240042158,0.0325690909220768,0.0011295978191549,0.9138138523837167,1.7776560428221904,-8.2,-59.93162353786067,630.8734577787887
CM_042-1,-80.5627036,37.0421794,14.49,6.0,10.26,,-11.88,-80.5627036,37.0421794,-70.14459671612725,247.25797883711823,849.057773306506,0.7006108562323368,0.0351991555624297,0.0483107901047479,0.0017004990162408,1.0748164406451748,1.8459942226666102,-11.88,-70.14459671612725,490.44273330073446
CM_042-2,-80.5627036,37.0421794,14.49,6.0,10.26,,-8.82,-80.5627036,37.0421794,-70.14459671612725,247.25797883711823,849.057773306506,0.7006108562323368,0.0351991555624297,0.0483107901047479,0.0017004990162408,0.9454685851318197,1.8459942226666102,-8.82,-70.14459671612725,695.2902122009892
CM_042-3,-80.5627036,37.0421794,14.49,6.0,10.26,,-8.79,-80.5627036,37.0421794,-70.14459671612725,247.25797883711823,849.057773306506,0.7006108562323368,0.0351991555624297,0.0483107901047479,0.0017004990162408,0.9439888750737718,1.8459942226666102,-8.79,-70.14459671612725,698.0045132665217
CM_056-1,-87.40916,32.96328,13.94,6.5,9.47,,-1.16,-87.40916,32.96328,-34.57565365984756,308.47677519373855,872.8757357035599,0.8435945484021472,0.0359439356072948,0.0581702649892291,0.002090868259032,0.06445798922691845,1.5387703992855104,-1.16,-34.57565365984756,2880.6597982627213
CM_056-2,-87.40916,32.96328,13.94,6.5,9.47,,-1.58,-87.40916,32.96328,-34.57565365984756,308.47677519373855,872.8757357035599,0.8435945484021472,0.0359439356072948,0.0581702649892291,0.002090868259032,0.19865708695442263,1.5387703992855104,-1.58,-34.57565365984756,2088.332510116934
