Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-153.10183644777084,105.95868700474207,1123.1025400786505,3.30206308499188,0.1376736011777001,0.2266276023488785,0.0312006381416378,1.668292710448221,2.1849804000669732,0.0,0.0,65.41100524968545,19.82776231123363,196.4536946078223,0.0,0.032385258735503,0.0,0.0073393935386751
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-153.10183644777084,105.95868700474207,1123.1025400786505,3.30206308499188,0.1376736011777001,0.2266276023488785,0.0312006381416378,1.750354088762708,2.1849804000669732,0.0,0.0,65.41100524968545,19.82776231123363,196.4536946078223,0.0,0.032385258735503,0.0,0.0073393935386751
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-153.10183644777084,105.95868700474207,1123.1025400786505,3.30206308499188,0.1376736011777001,0.2266276023488785,0.0312006381416378,1.51241754860084,2.1849804000669732,0.0,0.0,65.41100524968545,19.82776231123363,196.4536946078223,0.0,0.032385258735503,0.0,0.0073393935386751
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-84.90389945816078,108.6286149718036,1123.356318773274,3.6179827036226255,0.1412928264501635,0.2483098367164373,0.035084398665044,1.6099144100859977,1.9289276369373718,0.0,0.0,27.241132768158053,19.322319287232624,196.41132755488783,0.0,0.0329835991508761,0.0,0.0081901521194744
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-84.90389945816078,108.6286149718036,1123.356318773274,3.6179827036226255,0.1412928264501635,0.2483098367164373,0.035084398665044,1.5198279937757189,1.9289276369373718,0.0,0.0,27.241132768158053,19.322319287232624,196.41132755488783,0.0,0.0329835991508761,0.0,0.0081901521194744
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-84.90389945816078,108.6286149718036,1123.356318773274,3.6179827036226255,0.1412928264501635,0.2483098367164373,0.035084398665044,1.3579348470004537,1.9289276369373718,0.0,0.0,27.241132768158053,19.322319287232624,196.41132755488783,0.0,0.0329835991508761,0.0,0.0081901521194744
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3691.627445636856,367.41308770171673,1177.647961870271,3.369132805122689,0.474943682587902,0.2312307396821839,0.1098215790321809,3.586673929905294,3.567217866116581,0.0,0.0,181.4720425259533,90.68861623935086,210.95689994413263,0.0,0.1237859027291043,0.0,0.0286231058502776
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3691.627445636856,367.41308770171673,1177.647961870271,3.369132805122689,0.474943682587902,0.2312307396821839,0.1098215790321809,3.5393960534276854,3.567217866116581,0.0,0.0,181.4720425259533,90.68861623935086,210.95689994413263,0.0,0.1237859027291043,0.0,0.0286231058502776
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3691.627445636856,367.41308770171673,1177.647961870271,3.369132805122689,0.474943682587902,0.2312307396821839,0.1098215790321809,3.584430738784042,3.567217866116581,0.0,0.0,181.4720425259533,90.68861623935086,210.95689994413263,0.0,0.1237859027291043,0.0,0.0286231058502776
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-57.64747482132189,109.87536833573418,1123.477588718573,1.0475450905362742,0.1428869786564511,0.0718952443094098,0.0102728942391389,0.40483371661993806,1.7607802882970742,0.0,0.0,22.407486371931025,19.28331607546189,196.4073448911004,0.0,0.0329561811801785,0.0,0.0023693926974541
