Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-159.23126493637568,101.86738671348496,1055.2856561262563,0.6456957193816033,0.1906033291735537,0.0443463330754829,0.0084525587208262,1.972665592266111,2.2020283451618528
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-159.23126493637568,101.86738671348496,1055.2856561262563,0.6456957193816033,0.1906033291735537,0.0443463330754829,0.0084525587208262,1.915347062324192,2.2020283451618528
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-159.23126493637568,101.86738671348496,1055.2856561262563,0.6456957193816033,0.1906033291735537,0.0443463330754829,0.0084525587208262,2.0215200641140325,2.2020283451618528
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-106.21668385584296,104.18684081140172,1055.5122879672192,1.036877044727183,0.1948687853780723,0.0712126368559973,0.0138771200476979,1.587598729721245,2.026192738378637
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-106.21668385584296,104.18684081140172,1055.5122879672192,1.036877044727183,0.1948687853780723,0.0712126368559973,0.0138771200476979,1.5285310606354117,2.026192738378637
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-106.21668385584296,104.18684081140172,1055.5122879672192,1.036877044727183,0.1948687853780723,0.0712126368559973,0.0138771200476979,1.448551739201578,2.026192738378637
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-190.2876560485868,100.66291295825668,1055.170639122294,3.2205933009600884,0.1884904676293527,0.2211901038492686,0.0416922261095336,1.5805828768143673,2.279410616537883
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-190.2876560485868,100.66291295825668,1055.170639122294,3.2205933009600884,0.1884904676293527,0.2211901038492686,0.0416922261095336,1.5471591213274176,2.279410616537883
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-190.2876560485868,100.66291295825668,1055.170639122294,3.2205933009600884,0.1884904676293527,0.2211901038492686,0.0416922261095336,1.6011905326153335,2.279410616537883
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-161.54957865210483,101.74368640270583,1055.2742721408783,3.2638060286701163,0.1904255878558274,0.2241579507136776,0.0426854095372096,1.668292710448221,2.2083058296436384
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-161.54957865210483,101.74368640270583,1055.2742721408783,3.2638060286701163,0.1904255878558274,0.2241579507136776,0.0426854095372096,1.750354088762708,2.2083058296436384
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-161.54957865210483,101.74368640270583,1055.2742721408783,3.2638060286701163,0.1904255878558274,0.2241579507136776,0.0426854095372096,1.51241754860084,2.2083058296436384
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-95.23271955168416,104.74436667973762,1055.5676442319764,3.6745386906957593,0.1958611959890971,0.2523670388157536,0.0494289100506803,1.6099144100859977,1.9787861866132836
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-95.23271955168416,104.74436667973762,1055.5676442319764,3.6745386906957593,0.1958611959890971,0.2523670388157536,0.0494289100506803,1.5198279937757189,1.9787861866132836
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-95.23271955168416,104.74436667973762,1055.5676442319764,3.6745386906957593,0.1958611959890971,0.2523670388157536,0.0494289100506803,1.3579348470004537,1.9787861866132836
