Sample_ID,rate_mg_per_L_per_min,rate_mg_per_L_per_h,slope_of_the_regression,R_squared,R_squared_adj,p_value,total_incubation_time_min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero
S19S_0034_SED_INC-U,-0.146,-8.76,-0.146,1,-9999,-9999,15,2,0,7.71
S19S_0035_SED_INC-D,-0.064,-3.81,-0.064,0.974,0.961,0.007,55,4,0,8.78
S19S_0035_SED_INC-M,-0.042,-2.5,-0.042,0.975,0.967,0.004,55,5,0,8.27
S19S_0035_SED_INC-U,-0.062,-3.7,-0.062,0.958,0.916,0.013,46,3,0,8.58
S19S_0036_SED_INC-D,-0.229,-13.76,-0.229,1,-9999,-9999,14,2,0,7.89
S19S_0036_SED_INC-M,-0.026,-1.55,-0.026,0.988,0.986,0.001,113,7,0,8.64
S19S_0036_SED_INC-U,-0.096,-5.75,-0.096,1,1,0.001,29,4,0,8.35
S19S_0037_SED_INC-D,-0.04,-2.37,-0.04,0.978,0.97,0.003,75,5,0,8.8
S19S_0037_SED_INC-M,-0.075,-4.51,-0.075,0.989,0.984,0.006,43,4,0,8.35
S19S_0037_SED_INC-U,-0.076,-4.55,-0.076,0.972,0.959,0.009,38,4,0,8.5
S19S_0038_SED_INC-D,-0.037,-2.24,-0.037,0.985,0.981,0.003,71,5,0,8.46
S19S_0038_SED_INC-M,-0.019,-1.12,-0.019,0.988,0.986,0.001,110,7,0,8.55
S19S_0038_SED_INC-U,-0.055,-3.3,-0.055,0.997,0.996,0.002,57,5,0,8.56
S19S_0039_SED_INC-D,-0.698,-543.6,-0.698,1,-9999,-9999,4,2,0,3.97
S19S_0039_SED_INC-M,-0.062,-3.7,-0.062,0.983,0.975,0.006,41,4,0,8.22
S19S_0039_SED_INC-U,-0.546,-561.6,-0.546,1,-9999,-9999,7,2,0,3.82
S19S_0040_SED_INC-D,-0.153,-9.16,-0.153,0.999,0.999,0.003,23,3,0,8.33
S19S_0040_SED_INC-M,-0.347,-20.8,-0.347,1,-9999,-9999,15,2,0,7.17
S19S_0040_SED_INC-U,-2.43,-688.8,-2.43,1,-9999,-9999,1,2,0,2.76
S19S_0041_SED_INC-D,-0.025,-1.5,-0.025,0.987,0.985,0.001,110,9,0,8.48
S19S_0041_SED_INC-M,-0.473,-28.35,-0.473,1,-9999,-9999,8,2,0,7.34
S19S_0041_SED_INC-U,-0.261,-15.66,-0.261,1,-9999,-9999,10,2,0,7.88
S19S_0042_SED_INC-D,-0.104,-6.27,-0.104,0.927,0.854,0.029,26,3,0,7.96
S19S_0042_SED_INC-M,-0.165,-9.88,-0.165,0.99,0.979,0.017,28,3,0,8.05
S19S_0042_SED_INC-U,-0.274,-16.44,-0.274,1,-9999,-9999,15,2,0,6.88
S19S_0043_SED_INC-D,-0.115,-6.92,-0.115,0.996,0.995,0.004,56,5,0,6.46
S19S_0043_SED_INC-M,-0.168,-10.08,-0.168,1,-9999,-9999,15,2,0,7.51
S19S_0044_SED_INC-D,-1.37,-318,-1.37,1,-9999,-9999,2,2,0,5.85
S19S_0044_SED_INC-M,-0.062,-998.4,-0.062,0.969,0.938,0.011,3,3,0,0.18
S19S_0044_SED_INC-U,-1.053,-632.4,-1.053,1,-9999,-9999,3,2,0,3.23
S19S_0047_SED_INC-D,-0.184,-11.03,-0.184,1,-9999,-9999,18,2,0,6.79
S19S_0047_SED_INC-M,-1.57,-378,-1.57,1,-9999,-9999,2,2,0,5.35
S19S_0047_SED_INC-U,-9999,-944.4,-9999,0,0,0.295,0,2,0,0.63
S19S_0050_SED_INC-D,-0.015,-0.88,-0.015,0.988,0.985,0.001,99,6,0,8.92
S19S_0050_SED_INC-M,-0.042,-2.54,-0.042,0.996,0.995,0.001,74,5,0,8.61
S19S_0050_SED_INC-U,-0.032,-1.93,-0.032,0.996,0.995,0.001,105,6,0,8.81
S19S_0051_SED_INC-D,-0.016,-0.94,-0.016,0.993,0.991,0.001,108,6,0,8.66
S19S_0051_SED_INC-M,-0.272,-16.33,-0.272,1,-9999,-9999,14,2,0,8
S19S_0051_SED_INC-U,-0.011,-0.67,-0.011,0.981,0.974,0.001,88,5,0,8.7
S19S_0052_SED_INC-D,-0.079,-4.71,-0.079,0.999,0.997,0.003,39,3,0,8.74
S19S_0052_SED_INC-M,-0.275,-16.51,-0.275,1,-9999,-9999,21,2,0,7.43
S19S_0052_SED_INC-U,-0.086,-5.16,-0.086,0.988,0.976,0.009,32,3,0,8.39
S19S_0053_SED_INC-D,-0.101,-6.05,-0.101,0.918,0.837,0.03,30,3,0,8.45
S19S_0053_SED_INC-M,-0.225,-13.52,-0.225,1,-9999,-9999,15,2,0,8.4
S19S_0053_SED_INC-U,-0.084,-5.06,-0.084,0.994,0.989,0.006,31,3,0,8.42
S19S_0054_SED_INC-D,-1.1,-861.6,-1.1,1,-9999,-9999,1,2,0,1.32
S19S_0054_SED_INC-M,-0.6,-945.6,-0.6,1,-9999,-9999,1,2,0,0.62
S19S_0054_SED_INC-U,-9999,-960,-9999,0,0,0.374,0,2,0,0.5
S19S_0055_SED_INC-D,-0.71,-498,-0.71,1,-9999,-9999,3,2,0,4.35
S19S_0055_SED_INC-M,-0.517,-31,-0.517,1,-9999,-9999,3,2,0,5.81
S19S_0055_SED_INC-U,-0.181,-10.88,-0.181,1,-9999,-9999,15,2,0,8.35
S19S_0059_SED_INC-D,-1.01,-481.2,-1.01,1,-9999,-9999,2,2,0,4.49
