Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_087-6,-121.166009,37.580748,23.48,7.0,7.29,,-39.93,-121.166009,37.580748,-300.9453755879677,308.0409664659923,1244.3939187327655,8.041914320568674,0.3562874301130154,0.5436655991740103,0.1937012191705608,1.6012993101943376,2.4784876742198447,-39.93,-300.9453755879677,653.682383140415
CM_089-1,-116.831793,34.16866,8.32,7.5,9.59,,-3.56,-116.83179300000002,34.16866,-32.24886543598143,337.8757386469741,1252.1839350202597,4.174855582698327,0.390693181674877,0.2822369489845729,0.1102680515849926,0.5514499979728752,1.5085144401012056,-3.56,-32.24886543598143,805.8670066286918
CM_089-2,-116.831793,34.16866,8.32,7.5,9.59,,-3.77,-116.83179300000002,34.16866,-32.24886543598143,337.8757386469741,1252.1839350202597,4.174855582698327,0.390693181674877,0.2822369489845729,0.1102680515849926,0.5763413502057929,1.5085144401012056,-3.77,-32.24886543598143,755.4075712461918
CM_089-3,-116.831793,34.16866,8.32,7.5,9.59,,-3.35,-116.83179300000002,34.16866,-32.24886543598143,337.8757386469741,1252.1839350202597,4.174855582698327,0.390693181674877,0.2822369489845729,0.1102680515849926,0.5250448070368452,1.5085144401012056,-3.35,-32.24886543598143,862.6526995815352
CM_117-1,-123.7629212,45.7124168,12.56,6.0,10.19,,-3.66,-123.76292119999998,45.7124168,-34.17774751449796,337.6568944965614,1252.126341304655,5.817296430201246,0.3904946671422894,0.3932725248277138,0.1535708236788058,0.5634810853944107,1.533743437136651,-3.66,-34.17774751449796,833.8182381010372
CM_117-2,-123.7629212,45.7124168,12.56,6.0,10.19,,-3.41,-123.76292119999998,45.7124168,-34.17774751449796,337.6568944965614,1252.126341304655,5.817296430201246,0.3904946671422894,0.3932725248277138,0.1535708236788058,0.5327543789924978,1.533743437136651,-3.41,-34.17774751449796,902.2799857624035
CM_117-3,-123.7629212,45.7124168,12.56,6.0,10.19,,-4.01,-123.76292119999998,45.7124168,-34.17774751449796,337.6568944965614,1252.126341304655,5.817296430201246,0.3904946671422894,0.3932725248277138,0.1535708236788058,0.6031443726201823,1.533743437136651,-4.01,-34.17774751449796,752.3129055984529
SSS001-1,-120.5731,46.0417,15.84,8.18,9.75,,-2236.81,-120.5731,46.0417,-3072.6882159217844,369.8056694520084,1262.8484945865732,1.7613529165578945,0.4341701478592156,0.1190745077062227,0.051698596617074,3.3496290956495964,3.487518494856354,-2236.81,-3072.6882159217844,37.369209540452005
SSS001-2,-120.5731,46.0417,15.84,8.18,9.75,,-3827.24,-120.5731,46.0417,-3085.906833005002,365.5325274364761,1260.730027270933,1.7613529165578945,0.4331587488057201,0.1190745077062227,0.0515781647726844,3.5828856969795346,3.48938281008662,-3827.24,-3085.906833005002,19.369915840004744
SSS001-3,-120.5731,46.0417,15.84,8.18,9.75,,-3800.03,-120.5731,46.0417,-3203.14142685804,377.7899916984446,1264.3334576200534,1.7613529165578945,0.452303315300777,0.1190745077062227,0.0538577946033324,3.5797870252439226,3.5055761142954407,-3800.03,-3203.14142685804,15.707470023709286
SSS008-1,-121.0893,46.6592,13.16,7.76,9.43,,-3824.62,-121.0893,46.6592,-3232.10148231671,392.8305631154556,1271.4282100985615,2.140149766605265,0.4644897690437496,0.1446826910612114,0.0672036297556502,3.5825882917507266,3.509484988401509,-3824.62,-3232.10148231671,15.49221929716651
SSS008-2,-121.0893,46.6592,13.16,7.76,9.43,,-3976.99,-121.0893,46.6592,-3219.1238018537024,390.1045276288456,1270.163293993233,2.140149766605265,0.4630377794982063,0.1446826910612114,0.0669935520008082,3.5995544989693147,3.5077376792106265,-3976.99,-3219.1238018537024,19.056276182396672
SSS008-3,-121.0893,46.6592,13.16,7.76,9.43,,-3890.98,-121.0893,46.6592,-2759.2159748790223,333.88635407579875,1252.90429974248,2.140149766605265,0.3896468400729719,0.1446826910612114,0.056375153385255,3.5900589984953486,3.4407856957771816,-3890.98,-2759.2159748790223,29.086863081305424
SSS014-1,-119.9999,46.232,22.19,8.22,10.9,,-1599.21,-119.9999,46.232,-2593.496693815777,325.9504093293198,1251.4504487628867,4.755396649578146,0.3755889942031079,0.3214838489624899,0.1207457954843653,3.2039054967999308,3.413885698692249,-1599.21,-2593.496693815777,62.17361658667572
SSS014-2,-119.9999,46.232,22.19,8.22,10.9,,-3564.45,-119.9999,46.232,-2514.9961991546083,314.8147339785259,1247.8608896412802,4.755396649578146,0.3664435949560333,0.3214838489624899,0.1178056973341172,3.551992527065169,3.400537333054997,-3564.45,-2514.9961991546083,29.442236553897278
SSS014-3,-119.9999,46.232,22.19,8.22,10.9,,-3049.36,-119.9999,46.232,-2514.9961991546083,314.8147339785259,1247.8608896412802,4.755396649578146,0.3664435949560333,0.3214838489624899,0.1178056973341172,3.4842086991388173,3.400537333054997,-3049.36,-2514.9961991546083,17.523801743493447
SSS022-1,-121.1073,47.4636,14.6,7.85,9.61,,-3.26,-121.10729999999998,47.4636,-77.3727820971212,333.46726146746425,1251.0739208107143,5.40727277238114,0.3856674477853367,0.3655532842690152,0.1409820021735787,0.5132176000679389,1.88858821308747,-3.26,-77.3727820971212,2273.3982238380736
SSS022-2,-121.1073,47.4636,14.6,7.85,9.61,,-3.53,-121.10729999999998,47.4636,-31.14133688663117,338.02232958215893,1252.226017108963,5.40727277238114,0.3908544945892372,0.3655532842690152,0.1428781441684016,0.5477747053878226,1.4933372527415472,-3.53,-31.14133688663117,782.1908466467754
