#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Other_Names,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
S19S_0008_Sediment-U,10.58052/IEWDR0132,10.58052/IEWDR00OP,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,36.961273,-119.028254,stream,Teakettle T003 stream,S19S_0008,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda and Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0009_Sediment-D,10.58052/IEWDR0133,10.58052/IEWDR00OQ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,42.9877,-108.3983,stream,Little Wind River,S19S_0009,United States,Wyoming,Riverton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Zach Perzan. Sharon Bone. Diana Valazquez, 2019-07-30,https://whondrs.pnnl.gov,regular URL
S19S_0009_Sediment-M,10.58052/IEWDR0134,10.58052/IEWDR00OQ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,42.9876,-108.3983,stream,Little Wind River,S19S_0009,United States,Wyoming,Riverton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Zach Perzan. Sharon Bone. Diana Valazquez, 2019-07-30,https://whondrs.pnnl.gov,regular URL
S19S_0009_Sediment-U,10.58052/IEWDR0135,10.58052/IEWDR00OQ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,42.9875,-108.3982,stream,Little Wind River,S19S_0009,United States,Wyoming,Riverton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Zach Perzan. Sharon Bone. Diana Valazquez, 2019-07-30,https://whondrs.pnnl.gov,regular URL
S19S_0010_Sediment-D,10.58052/IEWDR0136,10.58052/IEWDR00OR,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,31.667875,-81.840062,stream,Altamaha,S19S_0010,United States,Georgia,Doctortown,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-07-31,https://whondrs.pnnl.gov,regular URL
S19S_0010_Sediment-M,10.58052/IEWDR0137,10.58052/IEWDR00OR,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,31.667835,-81.839976,stream,Altamaha,S19S_0010,United States,Georgia,Doctortown,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-07-31,https://whondrs.pnnl.gov,regular URL
S19S_0010_Sediment-U,10.58052/IEWDR0138,10.58052/IEWDR00OR,NSF Long Term Ecological Research (LTER) site: Georgia Coastal Ecosystems,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,31.667905,-81.8403,stream,Altamaha,S19S_0010,United States,Georgia,Doctortown,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-07-31,https://whondrs.pnnl.gov,regular URL
S19S_0011_Sediment-D,10.58052/IEWDR0139,10.58052/IEWDR00OS,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,33.955686,-83.437674,stream,Middle Oconee,S19S_0011,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-08-05,https://whondrs.pnnl.gov,regular URL
S19S_0011_Sediment-M,10.58052/IEWDR013A,10.58052/IEWDR00OS,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,33.957827,-83.438589,stream,Middle Oconee,S19S_0011,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-08-05,https://whondrs.pnnl.gov,regular URL
S19S_0011_Sediment-U,10.58052/IEWDR013B,10.58052/IEWDR00OS,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,33.95569,-83.437673,stream,Middle Oconee,S19S_0011,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christof Meile, 2019-08-05,https://whondrs.pnnl.gov,regular URL
S19S_0012_Sediment-D,10.58052/IEWDR013C,10.58052/IEWDR00OT,National Ecological Observatory (NEON) site: HOPB,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,42.47179,-72.33027,stream,Hop Brook,S19S_0012,United States,Massachusetts,New Salem,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Williams, 2019-08-13,https://whondrs.pnnl.gov,regular URL
