Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-145.60053635112033,81.7120087675099,1011.6657161988838,0.4980394010770429,0.1869899828534139,0.0350332170528245,0.0065508606560075,0.0,0.0,15.611528907494748,13.643857686808396,153.74069761850336,0.0,0.062556835278744,0.0,0.002191567188458
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-145.60053635112033,81.7120087675099,1011.6657161988838,0.4980394010770429,0.1869899828534139,0.0350332170528245,0.0065508606560075,0.0,0.0,15.611528907494748,13.643857686808396,153.74069761850336,0.0,0.062556835278744,0.0,0.002191567188458
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-90.928132216057,83.58189503046958,1011.8187150215738,1.0590804405137826,0.1912627879274405,0.0744981117330933,0.0142487165454013,0.0,0.0,17.412244516584735,13.954601835428344,153.7667440276668,0.0,0.063924422412735,0.0,0.0047622487633773
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-90.928132216057,83.58189503046958,1011.8187150215738,1.0590804405137826,0.1912627879274405,0.0744981117330933,0.0142487165454013,0.0,0.0,17.412244516584735,13.954601835428344,153.7667440276668,0.0,0.063924422412735,0.0,0.0047622487633773
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-90.928132216057,83.58189503046958,1011.8187150215738,1.0590804405137826,0.1912627879274405,0.0744981117330933,0.0142487165454013,0.0,0.0,17.412244516584735,13.954601835428344,153.7667440276668,0.0,0.063924422412735,0.0,0.0047622487633773
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-184.9397400144436,80.74601703561322,1011.5882490869046,3.124617174142764,0.1851002141919488,0.2197926337394204,0.0406836635829792,0.0,0.0,43.59920453934856,13.35066881610664,153.71424202186344,0.0,0.0630076961145078,0.0,0.0138486274748607
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-184.9397400144436,80.74601703561322,1011.5882490869046,3.124617174142764,0.1851002141919488,0.2197926337394204,0.0406836635829792,0.0,0.0,43.59920453934856,13.35066881610664,153.71424202186344,0.0,0.0630076961145078,0.0,0.0138486274748607
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-184.9397400144436,80.74601703561322,1011.5882490869046,3.124617174142764,0.1851002141919488,0.2197926337394204,0.0406836635829792,0.0,0.0,43.59920453934856,13.35066881610664,153.71424202186344,0.0,0.0630076961145078,0.0,0.0138486274748607
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-150.18713016688469,81.60072217120845,1011.6570777771184,3.0498379042834247,0.1866678713463516,0.21453249089456,0.040046323409918,0.0,0.0,41.24538084419827,13.042303627906104,153.68596350174963,0.0,0.0617294483712091,0.0,0.0132429723206226
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-150.18713016688469,81.60072217120845,1011.6570777771184,3.0498379042834247,0.1866678713463516,0.21453249089456,0.040046323409918,0.0,0.0,41.24538084419827,13.042303627906104,153.68596350174963,0.0,0.0617294483712091,0.0,0.0132429723206226
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-150.18713016688469,81.60072217120845,1011.6570777771184,3.0498379042834247,0.1866678713463516,0.21453249089456,0.040046323409918,0.0,0.0,41.24538084419827,13.042303627906104,153.68596350174963,0.0,0.0617294483712091,0.0,0.0132429723206226
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-86.65287102302656,83.74205662726489,1011.832004394906,3.780117281187627,0.1915099413416491,0.2659019927150169,0.0509228750274804,0.0,0.0,21.70307329165756,13.720035978753318,153.7452939144031,0.0,0.0633690921776911,0.0,0.0168499678865896
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-86.65287102302656,83.74205662726489,1011.832004394906,3.780117281187627,0.1915099413416491,0.2659019927150169,0.0509228750274804,0.0,0.0,21.70307329165756,13.720035978753318,153.7452939144031,0.0,0.0633690921776911,0.0,0.0168499678865896
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-86.65287102302656,83.74205662726489,1011.832004394906,3.780117281187627,0.1915099413416491,0.2659019927150169,0.0509228750274804,0.0,0.0,21.70307329165756,13.720035978753318,153.7452939144031,0.0,0.0633690921776911,0.0,0.0168499678865896
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3449.8599037465706,323.05281999886444,1060.46256570307,3.18771370018472,0.7326262769600089,0.2242309859808831,0.1642775124382463,0.0,0.0,355.11039818713215,59.14611576460123,152.1199068081092,0.0,0.2160781613471554,0.0,0.048451419167809
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3449.8599037465706,323.05281999886444,1060.46256570307,3.18771370018472,0.7326262769600089,0.2242309859808831,0.1642775124382463,0.0,0.0,355.11039818713215,59.14611576460123,152.1199068081092,0.0,0.2160781613471554,0.0,0.048451419167809
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3449.8599037465706,323.05281999886444,1060.46256570307,3.18771370018472,0.7326262769600089,0.2242309859808831,0.1642775124382463,0.0,0.0,355.11039818713215,59.14611576460123,152.1199068081092,0.0,0.2160781613471554,0.0,0.048451419167809
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-62.27733881211118,84.69968353902925,1011.9117719859864,1.1515795138832243,0.1937635342497317,0.0810047056040379,0.0156957580486974,0.0,0.0,18.397018975894326,13.892756226449546,153.76035248855618,0.0,0.0643221616147145,0.0,0.0052103977654153
CM_017-2,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.85,-110.5660089,45.597409,-62.27733881211118,84.69968353902925,1011.9117719859864,1.1515795138832243,0.1937635342497317,0.0810047056040379,0.0156957580486974,0.0,0.0,18.397018975894326,13.892756226449546,153.76035248855618,0.0,0.0643221616147145,0.0,0.0052103977654153
