Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-78.2605426712,40.2146129635,-5.13028330344,2.00395146648,19.4191589555,0.159619956616,0.141477919113,0.0109963501101,0.00155574073141,0,0,0.816003703517,0.702307066347,5.16759820963,0,0.11621523042,0,0.00127794336182,100454
-82.2389713643,36.5354166411,-13.1218939156,2.32545694954,19.4581245789,0.137799954565,0.169168148872,0.00949315222028,0.00160593898806,0,0,1.68852007415,0.585092438344,5.13970418925,0,0.12806602554,0,0.0012157502747,101234
-75.1854649017,41.4562366442,-8.25437424925,1.78419436254,19.3965731113,0.189848330415,0.125104942573,0.0130788076461,0.00163622347949,0,0,1.46194020127,0.490117907908,5.14783239849,0,0.0973011784886,0,0.00127258339719,100298
-71.3521754796,42.7816340779,-10.070337894,1.98671029818,19.4179768532,0.168315900066,0.141221865287,0.0115954208074,0.00163752695521,0,0,3.44036584084,0.709282746427,5.16608943489,0,0.117491659708,0,0.00136236523568,102550
-71.5018674879,43.0229070829,-9.78204433004,1.93190165207,19.4112814411,0.170434761341,0.140473632567,0.0117413909035,0.00164935583161,0,0,2.24749825478,0.412739251698,5.13867477767,0,0.110944353592,0,0.00130264102406,100024
-70.8521447672,43.4072254227,-4.54387073671,2.10375694082,19.4307888964,0.159708901308,0.149915393333,0.0110024775831,0.00164944075451,0,0,1.24081874388,0.750380603124,5.16985552872,0,0.126424977448,0,0.00139098798032,100016
-70.7435056312,43.3151044661,-5.96095536368,1.94987268333,19.4143302407,0.176030912466,0.141927185133,0.0121269143578,0.00172113881915,0,0,1.92802913736,0.637471163824,5.1563534506,0,0.118446183712,0,0.00143638672588,100017
-82.114587019,38.3895908085,-6.51909739457,1.93108123333,19.4113366897,0.186571006127,0.135055812651,0.0128530300801,0.00173587642249,0,0,1.755694083,0.669396585116,5.16505681937,0,0.109329746878,0,0.00140521852527,101156
-76.602273646,40.6400421547,-10.5250305156,1.92888431145,19.4107768934,0.176710228411,0.143415376802,0.012173712992,0.00174589763583,0,0,1.19325090876,0.42574044172,5.14059335204,0,0.113260045396,0,0.0013787952861,103961
-91.0982012264,37.4938527774,-12.1503180467,2.1769347862,19.4392383196,0.163307655353,0.15824649887,0.0112503987095,0.00178033620666,0,0,1.29348395325,0.560371319806,5.14407302182,0,0.123202224415,0,0.00138607414656,102140
-81.3726264907,37.7811521092,-13.1140694223,2.3133440054,19.457838045,0.143676200209,0.184975507567,0.00989797161633,0.00183088232361,0,0,2.2484105182,0.464106491611,5.12245817198,0,0.151321010477,0,0.00149777106666,103427
-71.7109029692,42.2303806253,-10.4326501785,1.93178232118,19.4112692676,0.189833890812,0.145309969509,0.0130778128899,0.00190033659228,0,0,1.99678108534,0.393872944544,5.13719510165,0,0.113216212473,0,0.00148062044283,100046
-81.497684454,38.4641215337,-8.39561338947,1.93460327641,19.4112616542,0.212852742207,0.138473062132,0.0146636004972,0.00203051366274,0,0,2.480382569,0.55040893244,5.15276962414,0,0.108516585331,0,0.00159124385462,103481
-74.6018845324,41.4436874772,-7.83182818925,1.83194362816,19.4009149143,0.223544410845,0.132884666508,0.0154001583443,0.00204644490576,0,0,1.65266811656,0.458856503815,5.14540548059,0,0.105691878474,0,0.00162767166421,100313
-75.8135323417,40.2512117695,-13.4267389312,2.40626840541,19.4676820919,0.170961091739,0.174660957412,0.0117776502376,0.00205709566657,0,0,1.64488866406,0.70310715303,5.15558713169,0,0.134134199066,0,0.00157978568151,100370
-73.7396750721,42.0144464324,-9.37433129199,1.92500901306,19.4113573838,0.217924006364,0.138331939647,0.0150129640564,0.00207677243777,0,0,2.73117405575,0.448869201771,5.13851090814,0,0.105854031363,0,0.00158918276809,103109
-91.4609446474,37.1432351374,-10.448349839,2.01026546104,19.4214706985,0.204370486831,0.147548988912,0.0140792509471,0.00207737924187,0,0,2.38607907503,0.62612546909,5.15085089199,0,0.125718643797,0,0.00177002433475,102154
-86.1351997157,35.422818282,-8.90863111731,1.9405620013,19.4130410205,0.213003495014,0.141629683383,0.0146739859821,0.00207827198861,0,0,2.19883704882,0.556379735066,5.14845039065,0,0.110631566078,0,0.00162340604979,101317
