Field_Name,Sample_Name,IGSN,Material,NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Ammonium,as_Bromide,as_Calcium,as_Chloride,as_Fluoride,as_Lithium,as_Magnesium,as_Nitrate,as_Nitrite,as_Phosphate,as_Potassium,as_Sodium,as_Sulfate,N/A
MethodID_Analysis,N/A,N/A,N/A,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13,0.05,0.77,0.03,0.01,0.16,0.65,0.04,0.08,0.23,0.14,0.1,0.04,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,SSS032_WIN-2,10.58052/IEWDR01NC,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,3.511,2.767,0.058,-9999,0.949,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.742,3.116,0.597,DTL_003
N/A,SSS032_WIN-3,10.58052/IEWDR01NC,Liquid>aqueous,-9999,-9999,4.227,3.159,0.051,-9999,1.418,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.8,3.694,0.834,DTL_003
N/A,SSS033_WIN-1,10.58052/IEWDR01ND,Liquid>aqueous,-9999,-9999,5.748,0.675,0.061,-9999,2.135,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.6,2.625,1.572,DTL_003
N/A,SSS033_WIN-2,10.58052/IEWDR01ND,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.376,0.676,0.059,-9999,2.242,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,0.606,2.719,1.554,DTL_003
N/A,SSS033_WIN-3,10.58052/IEWDR01ND,Liquid>aqueous,-9999,-9999,5.85,0.588,0.062,-9999,1.727,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.531,2.289,1.347,DTL_003
N/A,SSS034_WIN-1,10.58052/IEWDR01NE,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,3.239,0.364,0.026,-9999,2.831,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,0.733,0.668,DTL_003
N/A,SSS034_WIN-2,10.58052/IEWDR01NE,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,-9999,3.27,0.31,0.03,-9999,2.422,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.606,0.787,DTL_003
N/A,SSS034_WIN-3,10.58052/IEWDR01NE,Liquid>aqueous,-9999,-9999,3.561,0.372,0.028,-9999,3.028,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.763,0.712,DTL_003
N/A,SSS035_WIN-1,10.58052/IEWDR01NF,Liquid>aqueous,-9999,-9999,3.466,0.239,0.027,-9999,Magnesium_Below_0.65_ppm_LOD|0.28_Raw_Not_Corrected|0.28_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.592,0.525,DTL_003
N/A,SSS035_WIN-2,10.58052/IEWDR01NF,Liquid>aqueous,-9999,-9999,3.113,0.232,0.027,-9999,Magnesium_Below_0.65_ppm_LOD|0.27_Raw_Not_Corrected|0.27_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.583,0.478,DTL_003
N/A,SSS035_WIN-3,10.58052/IEWDR01NF,Liquid>aqueous,-9999,-9999,2.752,0.221,0.027,-9999,Magnesium_Below_0.65_ppm_LOD|0.21_Raw_Not_Corrected|0.21_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.539,0.435,DTL_003
N/A,SSS036_WIN-1,10.58052/IEWDR01NG,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,8.695,0.628,0.093,-9999,5.434,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.17_Raw_Not_Corrected|0.17_ppm_Final_Corrected,2.185,4.552,1.197,DTL_003
N/A,SSS036_WIN-2,10.58052/IEWDR01NG,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.69,0.602,0.091,-9999,5.452,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.14_Raw_Not_Corrected|0.14_ppm_Final_Corrected,2.15,4.406,1.164,DTL_003
N/A,SSS036_WIN-3,10.58052/IEWDR01NG,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.368,0.572,0.084,-9999,4.463,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.11_Raw_Not_Corrected|0.11_ppm_Final_Corrected,2.094,3.99,0.96,DTL_003
N/A,SSS037_WIN-1,10.58052/IEWDR01NH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,4.445,0.497,0.066,-9999,2.2,0.042,-9999,-9999,1.146,3.002,0.471,DTL_003
N/A,SSS037_WIN-2,10.58052/IEWDR01NH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,4.068,0.497,0.065,-9999,2.17,0.042,-9999,-9999,1.136,2.941,0.46,DTL_003
N/A,SSS037_WIN-3,10.58052/IEWDR01NH,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,4.051,0.478,0.066,-9999,1.902,0.041,-9999,-9999,1.13,2.796,0.42,DTL_003
N/A,SSS038_WIN-1,10.58052/IEWDR01NI,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.821,0.71,0.09,-9999,6.685,0.08,-9999,-9999,1.87,5.663,0.68,DTL_003
N/A,SSS038_WIN-2,10.58052/IEWDR01NI,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.687,0.658,0.081,-9999,5.386,0.071,-9999,-9999,1.776,5.041,0.583,DTL_003
N/A,SSS038_WIN-3,10.58052/IEWDR01NI,Liquid>aqueous,-9999,-9999,8.334,0.647,0.084,-9999,5.194,0.067,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.759,4.758,0.567,DTL_003
N/A,SSS039_WIN-1,10.58052/IEWDR01NJ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.046,0.838,0.078,-9999,2.138,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,-9999,0.992,2.876,0.4,DTL_003
N/A,SSS039_WIN-2,10.58052/IEWDR01NJ,Liquid>aqueous,-9999,-9999,4.67,1.006,0.075,-9999,2.525,0.046,-9999,-9999,1.268,3.535,0.461,N/A
N/A,SSS039_WIN-3,10.58052/IEWDR01NJ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,4.176,0.975,0.068,-9999,2.065,0.044,-9999,-9999,1.236,3.317,0.395,DTL_003
N/A,SSS040_WIN-1,10.58052/IEWDR01NK,Liquid>aqueous,-9999,-9999,4.772,1.764,0.066,-9999,0.974,-9999,-9999,-9999,0.692,2.316,1.721,N/A
N/A,SSS040_WIN-2,10.58052/IEWDR01NK,Liquid>aqueous,-9999,-9999,5.092,1.857,0.068,-9999,1.262,-9999,-9999,-9999,0.702,2.483,2.143,N/A
N/A,SSS040_WIN-3,10.58052/IEWDR01NK,Liquid>aqueous,-9999,-9999,6.1,2.134,0.079,-9999,1.702,-9999,-9999,-9999,0.754,3.048,2.859,N/A
N/A,SSS041_WIN-1,10.58052/IEWDR01NL,Liquid>aqueous,-9999,-9999,5.166,1.478,0.077,-9999,2.654,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,1.34,3.295,2.04,F_CV_030; NO3_CV_030; DTL_003
N/A,SSS041_WIN-2,10.58052/IEWDR01NL,Liquid>aqueous,-9999,-9999,6.202,1.559,0.063,-9999,3.087,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,1.371,3.468,2.349,F_CV_030; NO3_CV_030; DTL_003
N/A,SSS041_WIN-3,10.58052/IEWDR01NL,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,6.417,1.474,0.134,-9999,2.795,0.046,-9999,-9999,1.333,3.269,2.3,F_CV_030; NO3_CV_030; DTL_003
N/A,SSS042_WIN-1,10.58052/IEWDR01NM,Liquid>aqueous,-9999,-9999,6.026,2.117,0.082,-9999,1.87,-9999,-9999,-9999,0.731,3.018,2.941,F_CV_030
N/A,SSS042_WIN-2,10.58052/IEWDR01NM,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,6.1,1.704,0.077,-9999,1.567,-9999,-9999,-9999,0.583,2.46,2.444,F_CV_030; DTL_003
N/A,SSS042_WIN-3,10.58052/IEWDR01NM,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,-9999,7.364,2.036,0.165,-9999,1.699,0.105,-9999,4.68,0.768,3.115,2.734,F_CV_030; DTL_003
N/A,SSS043_WIN-1,10.58052/IEWDR01NN,Liquid>aqueous,-9999,-9999,3.255,0.448,0.041,-9999,Magnesium_Below_0.65_ppm_LOD|0.27_Raw_Not_Corrected|0.27_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.245,1.241,1.316,DTL_003
N/A,SSS043_WIN-2,10.58052/IEWDR01NN,Liquid>aqueous,-9999,-9999,3.891,0.501,0.048,-9999,Magnesium_Below_0.65_ppm_LOD|0.42_Raw_Not_Corrected|0.42_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.278,1.51,1.743,DTL_003
N/A,SSS043_WIN-3,10.58052/IEWDR01NN,Liquid>aqueous,-9999,-9999,4.54,0.507,0.05,-9999,Magnesium_Below_0.65_ppm_LOD|0.48_Raw_Not_Corrected|0.48_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.278,1.544,1.876,DTL_003
N/A,SSS044_WIN-1,10.58052/IEWDR01NO,Liquid>aqueous,-9999,-9999,2.945,0.476,0.044,-9999,Magnesium_Below_0.65_ppm_LOD|0.27_Raw_Not_Corrected|0.27_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.283,1.346,1.158,DTL_003
N/A,SSS044_WIN-2,10.58052/IEWDR01NO,Liquid>aqueous,-9999,-9999,3.107,0.477,0.043,-9999,Magnesium_Below_0.65_ppm_LOD|0.39_Raw_Not_Corrected|0.39_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.278,1.473,1.392,DTL_003
N/A,SSS044_WIN-3,10.58052/IEWDR01NO,Liquid>aqueous,-9999,-9999,2.957,0.481,0.042,-9999,Magnesium_Below_0.65_ppm_LOD|0.35_Raw_Not_Corrected|0.35_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.291,1.456,1.344,DTL_003
N/A,SSS045_WIN-1,10.58052/IEWDR01NP,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,6.142,0.419,0.047,-9999,0.711,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.183,1.931,1.51,NO3_CV_030; DTL_003
N/A,SSS045_WIN-2,10.58052/IEWDR01NP,Liquid>aqueous,-9999,-9999,5.717,0.437,0.043,-9999,Magnesium_Below_0.65_ppm_LOD|0.54_Raw_Not_Corrected|0.54_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.213,1.854,1.257,NO3_CV_030; DTL_003
N/A,SSS045_WIN-3,10.58052/IEWDR01NP,Liquid>aqueous,-9999,-9999,6.183,0.467,0.048,-9999,0.717,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.216,2.099,1.565,NO3_CV_030; DTL_003
N/A,SSS046_WIN-1,10.58052/IEWDR01NQ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.06_Raw_Not_Corrected|0.06_ppm_Final_Corrected,-9999,5.53,7.681,0.061,-9999,4.14,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,0.3,6.187,0.703,NH4_CV_030; DTL_003
N/A,SSS046_WIN-2,10.58052/IEWDR01NQ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,6.181,7.335,0.054,-9999,3.759,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.29,5.822,0.637,NH4_CV_030; DTL_003
N/A,SSS046_WIN-3,10.58052/IEWDR01NQ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,6.041,8.512,0.05,-9999,5.372,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.297,7.059,0.902,NH4_CV_030; DTL_003
N/A,SSS047_WIN-1,10.58052/IEWDR01NR,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.408,0.879,0.026,-9999,2.285,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.13_Raw_Not_Corrected|0.13_ppm_Final_Corrected,1.262,0.833,NO3_CV_030; DTL_003
N/A,SSS047_WIN-2,10.58052/IEWDR01NR,Liquid>aqueous,-9999,-9999,3.935,0.833,0.042,-9999,2.135,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,1.167,0.765,NO3_CV_030; DTL_003
N/A,SSS047_WIN-3,10.58052/IEWDR01NR,Liquid>aqueous,-9999,-9999,4.068,0.859,0.04,-9999,2.06,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,1.194,0.727,NO3_CV_030; DTL_003
N/A,SSS048_WIN-1,10.58052/IEWDR01NS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,4.99,7.187,0.045,-9999,1.819,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.487,4.646,0.967,NH4_CV_030; NO3_CV_030; DTL_003
N/A,SSS048_WIN-2,10.58052/IEWDR01NS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,5.949,7.892,0.045,-9999,2.34,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,0.497,5.088,1.249,NH4_CV_030; NO3_CV_030; DTL_003
N/A,SSS048_WIN-3,10.58052/IEWDR01NS,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,6.279,7.396,0.046,-9999,2.104,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.491,4.855,1.078,NH4_CV_030; NO3_CV_030; DTL_003
#End_Data,,,,,,,,,,,,,,,,,
