Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,CM_070_Water,10.58052/IEWDR01W4,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.147,0.297,FALSE
N/A,CM_071_Water,10.58052/IEWDR01W7,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91,4.01,FALSE
N/A,CM_072_Water,10.58052/IEWDR01WA,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.183,0.657,FALSE
N/A,CM_073_Water,10.58052/IEWDR01WD,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.99,0.343,FALSE
N/A,CM_074_Water,10.58052/IEWDR01WG,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.387,0.23,FALSE
N/A,CM_075_Water,10.58052/IEWDR01WJ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.25,0.887,FALSE
N/A,CM_076_Water,10.58052/IEWDR01WM,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.79,1.573,FALSE
N/A,CM_077_Water,10.58052/IEWDR01WP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.223,0.53,FALSE
N/A,CM_078_Water,10.58052/IEWDR01WS,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.023,3.483,FALSE
N/A,CM_079_Water,10.58052/IEWDR01WV,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.133,0.947,FALSE
N/A,CM_080_Water,10.58052/IEWDR01WY,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.743,1.417,FALSE
N/A,CM_081_Water,10.58052/IEWDR01X1,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.267,0.563,FALSE
N/A,CM_082_Water,10.58052/IEWDR01X4,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.9,0.46,FALSE
