Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100011,-70.2064326548,44.0731455038,-10.34889286457108,31.681640329426543,113.6477513424142,2.5906412771454668,0.1619730501919919,0.174405153328693,0.0282489346538504,0.0,0.0,10.54263183417259,28.81964926654549,71.28973644838322,0.0,0.1929428803437791,0.0,0.0336502326300364
100013,-69.9744186896,43.918531399,-10.150502943818784,29.972485770584733,113.22158936206934,2.4753715115461192,0.1509686268493774,0.1666450511019315,0.0251581745361028,0.0,0.0,6.90799591423908,29.72081415587653,71.5913532692335,0.0,0.1845566700436743,0.0,0.0307554557106304
100014,-70.3019546667,43.7268608231,-14.83258846898273,27.94455273145879,112.36494282286536,1.3837484589471116,0.1486451548000616,0.0931556461637674,0.0138471354445129,0.0,0.0,5.1574197475850285,25.925696420750736,70.6990426584586,0.0,0.1727811347055859,0.0,0.0160955382484078
100015,-70.7813953823,43.8061260977,-11.228901921128225,35.33382700033142,115.5374157595841,1.4623252378062204,0.1876432251178875,0.0984455314465719,0.0184726370190791,0.0,0.0,5.213458503449276,37.918167182853786,74.02827919635772,0.0,0.2542421285381182,0.0,0.0250290014600426
100016,-70.8521447672,43.4072254227,-11.354115619103816,31.875525390445212,114.0490627286472,0.2750057826563521,0.1651005895043117,0.0185137271275575,0.0030566272626816,0.0,0.0,4.0575640670541695,33.185987848123865,72.56118626142148,0.0,0.2092121322899509,0.0,0.0038732963289906
100017,-70.7435056312,43.3151044661,-13.473954375779908,29.738187600740428,113.25154069660928,0.4796008801630014,0.1529700689046475,0.0322873204327113,0.0049389936313382,0.0,0.0,4.301291022018856,30.226807479968805,71.64198171279689,0.0,0.1803877146366578,0.0,0.0058242359445982
100018,-71.1021736139,43.2522405659,-11.963494278346328,33.264135922642225,114.44591330425229,0.1131065222276132,0.1787560705355009,0.0076144700254747,0.0013611327409642,0.0,0.0,5.550952308811173,33.51682409608088,72.71137287421972,0.0,0.2326161471586469,0.0,0.0017712486799809
100019,-70.8894448683,43.1802865919,-19.914916114673087,26.76556806159447,111.89375799911603,1.1061566800516176,0.1468448178354698,0.0744678265925459,0.0109352144305857,0.0,0.0,7.4265744894282975,20.26902230851047,69.15768174298567,0.0,0.1503815249829244,0.0,0.011198585325151
100020,-71.2312026375,43.0816073977,-14.392778318143511,32.33616129324865,114.05686743471006,0.2424588061988916,0.1805175751917797,0.0163226246891283,0.0029465206296468,0.0,0.0,5.44928651922362,31.98534618058919,72.23409788690032,0.0,0.2335284623789746,0.0,0.0038117974456412
100021,-71.0594449203,43.0980643491,-14.06226334298953,31.73651272492233,113.86627479032882,0.3258236846954932,0.1761136745961621,0.0219348507216139,0.0038630271623016,0.0,0.0,5.121594769971464,31.558192477159267,72.08466644508582,0.0,0.2253182404163824,0.0,0.00494232196839
100022,-71.527171193,43.2078545482,-17.15899658347537,31.069308771079715,113.55576259183547,2.485817521538504,0.1774278505452601,0.1673482893273342,0.0296922472677751,0.0,0.0,9.184194915948162,28.244632065675127,70.92208559418637,0.0,0.2085515311323162,0.0,0.0349007419715894
100023,-71.3479227542,43.2227657814,-12.317181934161216,32.76442309101171,114.28977577887017,0.6543753311081669,0.1836621679574823,0.0440533511772752,0.0080909339830106,0.0,0.0,4.343640889918142,33.452021700041215,72.70230402504,0.0,0.2518640726656487,0.0,0.0110954564420785
100024,-71.5018674879,43.0229070829,-19.68342866924349,23.854240077427978,110.91506046060223,0.2680088155646422,0.1305182516190913,0.0180426827073087,0.0023548994014759,0.0,0.0,7.845605743826635,16.01976033970012,68.60853152531224,0.0,0.1317386648922073,0.0,0.0023769189309345
100025,-71.514167281,42.8933420742,-23.56663510014005,23.95573561929938,111.06549712830731,0.5064395517068779,0.1341692860902729,0.0340941327718191,0.0045743854538619,0.0,0.0,13.304239809347033,14.374431589760183,68.01036218624282,0.0,0.1227963019181541,0.0,0.0041866334214859
